		O-P-	阳	yang2	1.893	positive (electric.)

哦	e2	O+P+	娥	e2	2.0	good
	to chant	O+P-	唤	huan4	1.721	to call
		O-P+	额	e2	1.848	variant of 額|额[e2]
		O-P-	创	chuang4	1.956	variant of 創|创[chuang4]

济	ji4	O+P+	齐	qi2	1.798	(name of states and dynasties at several different periods)
	to cross a river	O+P-	洋	yang2	1.851	ocean
		O-P+	剂	ji4	2.0	dose (medicine)
		O-P-	秧	yang1	1.874	shoots

四	si4	O+P+	史	shi3	1.824	surname Shi
	four	O+P-	央	yang1	1.981	center
		O-P+	剃	ti4	1.859	to shave
		O-P-	剜	wan1	1.857	to scoop out

巨	ju4	O+P+	距	ju4	2.0	at a distance of
	very large	O+P-	央	yang1	1.654	center
		O-P+	足	ju4	2.0	excessive
		O-P-	剜	wan1	1.866	to scoop out

距	ju4	O+P+	巨	ju4	2.0	very large
	at a distance of	O+P-	央	yang1	1.654	center
		O-P+	剧	ju4	2.0	theatrical work (play, opera, TV series etc)
		O-P-	剜	wan1	1.866	to scoop out

拒	ju4	O+P+	巨	ju4	2.0	very large
	to resist	O+P-	央	yang1	1.654	center
		O-P+	剧	ju4	2.0	theatrical work (play, opera, TV series etc)
		O-P-	剜	wan1	1.866	to scoop out

矶	ji1	O+P+	机	ji1	2.0	surname Ji
	breakwater	O+P-	言	yan2	1.578	words
		O-P+	几	ji1	2.0	small table
		O-P-	漾	yang4	1.938	to overflow

沪	hu4	O+P+	浩	hao4	1.701	grand
	short name for Shanghai	O+P-	汪	wang1	1.92	surname Wang
		O-P+	户	hu4	2.0	a household
		O-P-	剜	wan1	1.895	to scoop out

痔	zhi4	O+P+	痣	zhi4	1.928	birthmark
	piles	O+P-	痒	yang3	1.821	variant of 癢|痒[yang3]
		O-P+	掷	zhi4	1.939	to toss
		O-P-	臃	yong1	1.826	see 臃腫|臃肿[yong1 zhong3]

甸	dian4	O+P+	建	jian4	1.581	to establish
	surname Dian	O+P-	医	yi1	2.0	medical
		O-P+	佃	dian4	2.0	farmer
		O-P-	邬	wu1	1.931	surname Wu

倦	juan4	O+P+	健	jian4	1.959	healthy
	tired	O+P-	倚	yi3	1.636	to lean on
		O-P+	剑	jian4	1.959	double-edged sword
		O-P-	一	yi1	1.956	one

衣	yi1	O+P+	羽	yu3	1.774	feather
	clothes	O+P-	舛	chuan3	1.765	mistaken
		O-P+	依	yi1	2.0	to depend on
		O-P-	创	chuang4	1.961	variant of 創|创[chuang4]

息	xi1	O+P+	悉	xi1	1.791	in all cases
	breath	O+P-	恙	yang4	1.990	sickness
		O-P+	戌	xu1	1.901	11th earthly branch: 7-9 p.m., 9th solar month (8th October-6th November), year of the Dog
		O-P-	院	yuan4	1.810	courtyard

陷	xian4	O+P+	限	xian4	1.691	limit
	pitfall	O+P-	隅	yu2	1.870	corner
		O-P+	剑	jian4	1.950	double-edged sword
		O-P-	一	yi1	1.981	one

铛	cheng1	O+P+	裆	dang1	1.718	crotch
	frying pan	O+P-	钥	yue4	1.893	key
		O-P+	撑	cheng1	1.949	to support
		O-P-	隘	ai4	1.932	pass

妨	fang2	O+P+	彷	pang2	1.904	irresolute
	to hinder	O+P-	役	yi4	1.6	forced labor
		O-P+	防	fang2	2.0	to protect
		O-P-	逸	yi4	1.987	to escape

讽	feng3	O+P+	访	fang3	1.918	to visit
	to satirize	O+P-	讶	ya4	1.767	astounded
		O-P+	疯	feng1	1.898	insane
		O-P-	危	wei1	1.906	surname Wei

老	lao3	O+P+	艹	cao3	1.877	grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5]
	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	O+P-	而	er2	1.823	and
		O-P+	姥	lao3	2.0	grandma (maternal)
		O-P-	嘤	ying1	1.786	calling of birds

弗	fu2	O+P+	头	tou2	1.815	head
	not	O+P-	央	yang1	1.878	center
		O-P+	氟	fu2	2.0	fluorine (chemistry)
		O-P-	剜	wan1	1.790	to scoop out

鸦	ya1	O+P+	鸭	ya1	1.811	duck
	crow	O+P-	鸿	hong2	1.829	eastern bean goose
		O-P+	丫	ya1	1.944	fork
		O-P-	仲	zhong4	1.899	surname Zhong

哏	gen2	O+P+	很	hen3	1.903	(adverb of degree)
	funny	O+P-	咬	yao3	1.690	to bite
		O-P+	痕	hen2	2.0	scar
		O-P-	逸	yi4	1.890	to escape

愕	e4	O+P+	愉	yu2	1.614	pleased
	startled	O+P-	慌	huang1	1.964	to get panicky
		O-P+	呃	e4	2.0	(exclamation)
		O-P-	疮	chuang1	1.903	sore

斗	dou3	O+P+	手	shou3	1.909	hand
	abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1]	O+P-	王	wang2	1.703	surname Wang
		O-P+	陡	dou3	2.0	steep
		O-P-	剜	wan1	1.868	to scoop out

线	xian4	O+P+	贱	jian4	1.900	inexpensive
	variant of 線|线[xian4]	O+P-	咿	yi1	1.765	variant of 咿[yi1]
		O-P+	涮	shuan4	1.844	to rinse
		O-P-	一	yi1	1.971	one

二	er4	O+P+	儿	er2	1.918	son
	two	O+P-	几	ji1	1.759	small table
		O-P+	摁	en4	1.913	to press (with finger)
		O-P-	揣	chuai1	1.890	to put into (one's pockets, clothes)

湍	tuan1	O+P+	添	tian1	1.728	to add
	to rush (of water)	O+P-	溢	yi4	1.803	to overflow
		O-P+	闩	shuan1	1.947	bolt
		O-P-	逸	yi4	1.999	to escape

忆	yi4	O+P+	亿	yi4	2.0	100 million
	to recollect	O+P-	厂	han3	1.572	"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc"
		O-P+	睪	yi4	1.992	to spy out
		O-P-	霜	shuang1	1.913	frost

琉	liu2	O+P+	流	liu2	2.0	to flow
	precious stone	O+P-	珥	er3	1.476	pearl or jade earring
		O-P+	浏	liu2	2.0	clear
		O-P-	盎	ang4	2.0	abundant

喃	nan2	O+P+	楠	nan2	1.676	variant of 楠[nan2]
	mumble in repetition	O+P-	喻	yu4	1.973	surname Yu
		O-P+	囡	nan1	1.829	child
		O-P-	逸	yi4	1.997	to escape

丈	zhang4	O+P+	仗	zhang4	2.0	weaponry
	measure of length, ten Chinese feet (3.3 m)	O+P-	义	yi4	1.529	surname Yi
		O-P+	障	zhang4	1.985	to block
		O-P-	铱	yi1	1.960	iridium (chemistry)

拖	tuo1	O+P+	拙	zhuo1	1.871	awkward
	variant of 拖[tuo1]	O+P-	按	an4	1.602	to press
		O-P+	讬	tuo1	2.0	variant of 託|托[tuo1]
		O-P-	盎	ang4	2.0	abundant

谦	qian1	O+P+	嫌	xian2	1.582	to dislike
	modest	O+P-	谕	yu4	1.979	order (from above)
		O-P+	乾	qian2	1.913	old variant of 乾[qian2]
		O-P-	逸	yi4	1.997	to escape

潭	tan2	O+P+	潘	pan1	1.756	surname Pan
	surname Tan	O+P-	溢	yi4	1.782	to overflow
		O-P+	谭	tan2	1.934	surname Tan
		O-P-	逸	yi4	1.999	to escape

柑	gan1	O+P+	根	gen1	1.607	root
	large tangerine	O+P-	柚	you4	1.873	pomelo (Citrus maxima or C. grandis)
		O-P+	甘	gan1	2.0	surname Gan
		O-P-	逸	yi4	1.990	to escape

源	yuan2	O+P+	演	yan3	1.722	to develop
	root	O+P-	溪	xi1	1.843	creek
		O-P+	圆	yuan2	1.905	circle
		O-P-	剂	ji4	2.0	dose (medicine)

矛	mao2	O+P+	毛	mao2	1.8	surname Mao
	spear	O+P-	用	yong4	1.987	to use
		O-P+	茅	mao2	2.0	surname Mao
		O-P-	嘤	ying1	1.681	calling of birds

肉	rou4	O+P+	臼	jiu4	1.788	mortar
	meat	O+P-	羊	yang2	1.885	surname Yang
		O-P+	痩	shou4	1.925	Japanese variant of 瘦[shou4]
		O-P-	剜	wan1	1.866	to scoop out

详	xiang2	O+P+	诠	quan2	1.607	to explain
	detailed	O+P-	诣	yi4	1.867	to go (to visit a superior)
		O-P+	祥	xiang2	2.0	auspicious
		O-P-	逸	yi4	1.989	to escape

铉	xuan4	O+P+	眩	xuan4	1.85	dazzling
	stick-like implement inserted into the handles of a tripod cauldron in ancient times in order to lift the cauldron	O+P-	铱	yi1	1.763	iridium (chemistry)
		O-P+	渲	xuan4	1.918	wash (color)
		O-P-	迂	yu1	1.931	literal-minded

痘	dou4	O+P+	逗	dou4	1.940	to stay
	pimple	O+P-	痒	yang3	1.733	variant of 癢|痒[yang3]
		O-P+	痩	shou4	1.913	Japanese variant of 瘦[shou4]
		O-P-	剜	wan1	1.874	to scoop out

喂	wei2	O+P+	煨	wei1	1.735	to simmer
	hello (when answering the phone)	O+P-	唱	chang4	1.889	to sing
		O-P+	危	wei1	1.912	surname Wei
		O-P-	沆	hang4	1.922	a ferry

色	se4	O+P+	舌	she2	1.751	tongue
	color	O+P-	羊	yang2	1.888	surname Yang
		O-P+	测	ce4	1.929	to survey
		O-P-	剜	wan1	1.889	to scoop out

钢	gang1	O+P+	铛	cheng1	1.621	frying pan
	steel	O+P-	钥	yue4	1.845	key
		O-P+	刚	gang1	2.0	hard
		O-P-	逸	yi4	1.990	to escape

憎	zeng1	O+P+	憧	chong1	1.887	irresolute
	to detest	O+P-	懊	ao4	1.747	to regret
		O-P+	铛	cheng1	1.914	frying pan
		O-P-	外	wai4	1.907	outside

伤	shang1	O+P+	仿	fang3	1.709	to imitate
	to injure	O+P-	伟	wei3	1.850	big
		O-P+	熵	shang1	1.901	entropy (physics)
		O-P-	逸	yi4	1.994	to escape

舟	zhou1	O+P+	竹	zhu2	1.832	bamboo
	boat	O+P-	网	wang3	1.912	net
		O-P+	邹	zou1	1.935	surname Zou
		O-P-	衍	yan3	1.773	to spread out

皇	huang2	O+P+	香	xiang1	1.756	fragrant
	surname Huang	O+P-	翌	yi4	1.954	bright
